term,category,definition,source_system,field_name,regulatory_reference
Bureau Score,Credit & Risk,"A numerical score between 300 and 900 assigned by a credit information company (CIBIL, Experian, Equifax, or CRIF) that summarises an individual or business's creditworthiness based on their historical repayment behaviour. Higher scores indicate lower credit risk. A score below 650 is generally considered subprime in Indian MSME lending.",SRC-002,bureau_score,Credit Information Companies Regulation Act 2005
DPD (Days Past Due),Credit & Risk,"The number of days a borrower is late on a scheduled loan repayment, measured from the contractual due date. DPD_30 indicates at least 30 days overdue; DPD_90 indicates at least 90 days overdue. DPD_90 is the RBI threshold for classifying a loan as a Non-Performing Asset (NPA). In this dataset, dpd_30_count_12m and dpd_90_count_12m count occurrences within the prior 12 months.",SRC-002,"dpd_30_count_12m, dpd_90_count_12m",RBI Prudential Norms on Income Recognition and Asset Classification
NPA (Non-Performing Asset),Credit & Risk,A loan or advance where the borrower has not made interest or principal repayments for 90 days or more (DPD_90+). NBFCs are required by RBI to classify such assets as NPAs and make provisions against them. NPA classification directly impacts an NBFC's capital adequacy and profitability.,MDL-001,default_flag,RBI Master Direction — Non-Banking Financial Companies
Credit Utilization Ratio,Credit & Risk,"The proportion of a borrower's total available revolving credit that is currently in use, expressed as a value between 0 and 1. A ratio above 0.7 (70%) is generally considered a negative credit signal, indicating the borrower is heavily dependent on available credit. Calculated as outstanding revolving balance divided by total revolving credit limit.",SRC-002,credit_utilization_ratio,None specific — standard credit risk metric
Write-Off,Credit & Risk,"A lender's accounting action of removing an unrecoverable loan from its balance sheet after exhausting recovery efforts. A write-off in a borrower's credit history is among the most severe negative signals in credit assessment, indicating a prior lender concluded the debt was uncollectable. Represented as a binary flag (0/1) in this dataset.",SRC-002,write_off_flag,RBI Prudential Norms on Income Recognition and Asset Classification
Bounce Count,Credit & Risk,The number of times a cheque or electronic payment instruction (NACH/ECS mandate) was returned unpaid by the borrower's bank due to insufficient funds within a given period. In this dataset measured over 6 months. A high bounce count is a strong negative indicator of cash flow stress and repayment discipline.,SRC-003,bounce_count_6m,None specific — standard banking behaviour metric
Credit Inquiry,Credit & Risk,"A request made to a credit bureau to pull a borrower's credit report, typically triggered when a borrower applies for credit. Multiple inquiries in a short period (credit hungry behaviour) are treated as a negative signal by credit models, as they may indicate financial distress or aggressive borrowing. Measured here as count over 6 months.",SRC-002,credit_inquiries_6m,Credit Information Companies Regulation Act 2005
Cash Deposit Ratio,Credit & Risk,"The proportion of total bank credits that arrive as cash deposits rather than electronic transfers, expressed as a value between 0 and 1. A high cash deposit ratio may indicate a business operating significantly outside the formal banking system, which reduces the reliability of bank statement data as a proxy for total business revenue.",SRC-003,cash_deposit_ratio,None specific — standard bank statement metric
"MSME (Micro, Small and Medium Enterprise)",MSME Business,"A business classified under the MSME Development Act 2006 based on annual turnover thresholds revised in 2020: Micro (turnover up to ₹5 crore), Small (₹5–50 crore), Medium (₹50–250 crore). MSMEs constitute approximately 30% of India's GDP and employ over 110 million people. UGRO Capital exclusively targets MSME borrowers, making accurate MSME classification a prerequisite for regulatory reporting.",SRC-001,"sector, entity_type","MSME Development Act 2006, amended 2020"
Business Vintage,MSME Business,"The number of years a business has been in continuous operation, measured from the date of incorporation or registration to the loan application date. A key credit signal — longer vintage indicates business stability and survival through economic cycles. In MSME lending, businesses under 2 years old are typically classified as startups and assessed under different risk criteria.",SRC-001,business_vintage_years,None specific — standard underwriting criterion
Entity Type,MSME Business,"The legal structure under which a business is registered. Four types are recognised in this dataset: Proprietorship (single owner, no legal separation between owner and business), Partnership (two or more owners under Partnership Act 1932), Private Limited Company (incorporated under Companies Act 2013, limited liability), and LLP (Limited Liability Partnership, hybrid structure under LLP Act 2008). Entity type affects credit assessment because it determines personal liability, governance requirements, and financial statement availability.",SRC-001,entity_type,"Companies Act 2013, LLP Act 2008, Partnership Act 1932"
GST (Goods and Services Tax),MSME Business,"India's unified indirect tax introduced in 2017, replacing multiple state and central taxes. Businesses with annual turnover above ₹20 lakh (₹10 lakh in special category states) are required to register for GST. For MSME lenders, GST filing data provides an independently verified, government-sourced proxy for business revenue that is harder to manipulate than self-reported financials.",SRC-004,"gst_number, gst_registration_date",GST Act 2017
GSTIN (GST Identification Number),MSME Business,"A unique 15-character alphanumeric identifier assigned to every GST-registered business in India. Format: 2-digit state code + 10-character PAN + 1-digit entity code + Z + 1 check character. The GSTIN embeds the PAN of the business, enabling cross-system identity verification between tax and credit records. Invalid or mismatched GSTINs indicate KYC data quality issues.",SRC-004,gstin,GST Act 2017
PAN (Permanent Account Number),MSME Business,"A unique 10-character alphanumeric identifier issued by the Income Tax Department of India to every taxpayer. Format: 5 letters + 4 digits + 1 letter (e.g. ABCDE1234F). The fourth character encodes the taxpayer type (P for individual, C for company, F for firm). PAN is the primary KYC identifier in Indian financial services and is mandatory for loan applications above ₹50,000.",SRC-001,pan_number,"Income Tax Act 1961, RBI KYC Master Direction"
GST Filing Regularity,MSME Business,"The percentage of expected GST returns that a business has filed on time over a given period, expressed as 0-100%. Regular GST filing indicates operational discipline and regulatory compliance. Irregular filing may indicate business stress, cash flow problems, or attempts to conceal revenue. UGRO Capital uses this as a behavioural credit signal.",SRC-004,gst_filing_regularity_pct,GST Act 2017
Account Aggregator,MSME Business,"An RBI-regulated entity that facilitates secure, consent-based sharing of financial data between financial information providers (banks, NBFCs) and financial information users (lenders, advisors). Introduced under RBI's Account Aggregator framework in 2021. For MSME lenders, Account Aggregators enable frictionless bank statement data access with explicit borrower consent, replacing manual PDF statement uploads.",SRC-003,"avg_monthly_balance, avg_monthly_credit_turnover",RBI Account Aggregator Framework 2021
Data Lineage,Data & Technical,"The documented chain of custody that tracks how data moves from its origin source system through transformations, aggregations, and processing steps to its final destination in a model, report, or decision. Data lineage answers the question: where did this value come from, and what happened to it along the way? It is essential for debugging data quality issues, assessing model risk, and demonstrating regulatory compliance.",DRV-001,N/A — framework concept,RBI Model Risk Guidelines
Data Catalogue,Data & Technical,"A structured inventory of all data assets within an organisation, documenting metadata such as asset descriptions, field definitions, data owners, sensitivity classifications, and lineage. A data catalogue enables data discovery — the ability to find, understand, and trust data assets without relying on tribal knowledge. Industry tools include DataHub, Alation, Collibra, and Apache Atlas.",N/A,N/A — framework concept,"RBI Digital Lending Guidelines, DPDP Act 2023"
Feature Store,Data & Technical,"A centralised repository that stores, manages, and serves engineered features for machine learning models. Features are derived from raw data through transformations such as aggregations, ratios, and rolling window calculations. A feature store ensures consistency between features used during model training and those used during live inference, preventing training-serving skew. UGRO Capital's GRO Score Feature Store contains 25,000+ features.",DRV-001,N/A — system concept,RBI Model Risk Guidelines
Model Drift,Data & Technical,"The degradation of a machine learning model's predictive performance over time, caused by changes in the statistical properties of input data (data drift) or changes in the relationship between inputs and the target variable (concept drift). For credit scoring models, economic shocks such as COVID-19 or interest rate cycles can cause rapid concept drift. Detected using metrics such as Population Stability Index (PSI) and Kolmogorov-Smirnov statistic.",MDL-001,N/A — monitoring concept,RBI Model Risk Guidelines
Population Stability Index (PSI),Data & Technical,A metric that measures how much the distribution of a variable has shifted between two time periods — typically between the model training population and the current scoring population. PSI below 0.1 indicates no significant shift; 0.1-0.2 indicates moderate shift requiring investigation; above 0.2 indicates significant shift requiring model review or retraining. PSI is the industry standard drift detection metric for credit scoring models in Indian banking.,MDL-001,"bureau_score, gst_filing_regularity_pct",RBI Model Risk Guidelines
Data Classification,Data & Technical,"The process of categorising data assets into sensitivity tiers based on the potential harm their unauthorised disclosure, modification, or loss could cause. Common tiers are Public, Internal, Confidential, and Restricted. Classification drives access controls, encryption requirements, retention policies, and incident response priorities. Under the DPDP Act 2023, personal data and sensitive personal data require specific classification and handling controls.",N/A,N/A — framework concept,"DPDP Act 2023, ISO 27001"
Training-Serving Skew,Data & Technical,"A model risk condition where the features used to train a model differ from the features computed at inference time, causing the model to behave differently in production than it did during validation. Common causes include inconsistent feature engineering logic between training and serving pipelines, or using future data during training that is not available at inference time (data leakage).",DRV-001,N/A — model risk concept,RBI Model Risk Guidelines
Data Quality Dimensions,Data & Technical,"The six internationally recognised aspects of data quality used to assess whether data is fit for purpose: Completeness (are required values present?), Accuracy (are values correct?), Validity (do values conform to format and domain rules?), Uniqueness (are records that should be unique actually unique?), Consistency (do fields agree with each other logically?), and Timeliness (was the data fresh when used?). Assessed in Module 1 of this governance framework.",N/A,N/A — framework concept,"ISO 8000, DAMA DMBOK"
DPDP Act 2023 (Digital Personal Data Protection Act),Regulatory & Compliance,"India's primary data protection legislation enacted in August 2023, replacing the earlier draft Personal Data Protection Bill. Establishes rights of Data Principals (individuals whose data is processed) and obligations of Data Fiduciaries (entities processing personal data). Key obligations include obtaining free, specific, informed, and unambiguous consent before processing personal data, providing notice of processing purposes, enabling data principals to withdraw consent, and implementing reasonable security safeguards. Non-compliance attracts penalties up to ₹250 crore per violation.",N/A,"pan_number, gstin, proprietor_gender",Digital Personal Data Protection Act 2023
Data Fiduciary,Regulatory & Compliance,"Under the DPDP Act 2023, any person or entity that determines the purpose and means of processing personal data. UGRO Capital is a Data Fiduciary with respect to the personal data of its loan applicants — it decides what data to collect, why, and how. Data Fiduciaries bear primary accountability for DPDP compliance, including consent management, data minimisation, and breach notification obligations.",N/A,N/A — legal concept,"Digital Personal Data Protection Act 2023, Section 2(i)"
Data Principal,Regulatory & Compliance,"Under the DPDP Act 2023, the individual to whom personal data relates. In the context of UGRO Capital's loan portfolio, the Data Principal is the loan applicant — the proprietor or director whose PAN, bureau data, and bank statements are processed. Data Principals have the right to access their data, correct inaccuracies, withdraw consent, and seek grievance redressal.",N/A,N/A — legal concept,"Digital Personal Data Protection Act 2023, Section 2(j)"
Consent,Regulatory & Compliance,"Under the DPDP Act 2023, a freely given, specific, informed, and unambiguous indication of the Data Principal's agreement to the processing of their personal data for a stated purpose. Consent must be obtained before processing begins, must be as easy to withdraw as to give, and cannot be bundled with terms and conditions. For UGRO Capital, separate consent is required for bureau pulls, bank statement access via Account Aggregator, and GST data access.",SRC-001,N/A — process concept,"Digital Personal Data Protection Act 2023, Section 6"
RBI Digital Lending Guidelines,Regulatory & Compliance,"RBI guidelines issued in September 2022 governing digital lending by banks and NBFCs. Key requirements include: all loan disbursals and repayments must flow directly between borrower and lender bank accounts (no pass-through via third parties), borrowers must receive a Key Fact Statement before loan execution, data collection must be need-based with explicit borrower consent, and automated credit decisions must be explainable to the borrower on request.",N/A,N/A — regulatory framework,"RBI Digital Lending Guidelines, September 2022"
RBI Fair Practices Code,Regulatory & Compliance,"RBI guidelines requiring NBFCs to adopt fair and transparent practices in lending. Relevant provisions include: loan applications must be acknowledged and decisions communicated with reasons for rejection, interest rates and charges must be disclosed upfront, and borrowers have the right to understand the basis of credit decisions. For AI-based credit scoring, this implies a right to explanation — a borrower rejected by GRO Score should receive an intelligible reason.",N/A,"loan_status, interest_rate_pct",RBI Master Direction — Fair Practices Code for NBFCs
DPIA (Data Protection Impact Assessment),Regulatory & Compliance,"A structured process for identifying and mitigating privacy risks before deploying a new data processing activity or system. Required under the DPDP Act 2023 for high-risk processing activities — which includes automated credit scoring using personal data. A DPIA documents: what data is processed, why, what the risks are, and what controls mitigate them. Conducted for GRO Score in Module 3 of this governance framework.",N/A,N/A — process concept,"DPDP Act 2023, DPDP Rules 2025"
NIST AI RMF (AI Risk Management Framework),Regulatory & Compliance,"A voluntary framework published by the US National Institute of Standards and Technology in 2023 for managing risks associated with AI systems. Organised around four functions: Govern (establish AI risk culture and accountability), Map (identify and classify AI risks), Measure (analyse and assess risks), and Manage (prioritise and treat risks). Assessed for GRO Score in Module 6 of this governance framework. Referenced alongside ISO 42001 as the two primary AI governance standards.",N/A,N/A — framework concept,"NIST AI RMF 1.0, January 2023"
EU AI Act,Regulatory & Compliance,"The European Union's comprehensive AI regulation enacted in 2024, the first binding AI law of its kind globally. Classifies AI systems by risk level: Unacceptable (banned), High Risk (strict requirements), Limited Risk (transparency obligations), and Minimal Risk (no specific requirements). Credit scoring AI systems are explicitly classified as High Risk under Annex III, requiring conformity assessments, human oversight, explainability, and registration in an EU database. Referenced in Module 5's bias audit as an emerging global standard.",N/A,N/A — regulatory framework,EU Artificial Intelligence Act 2024
Algorithmic Bias,Regulatory & Compliance,"Systematic and unfair discrimination in the outputs of an AI or algorithmic system against individuals or groups sharing a protected characteristic such as gender, religion, caste, or geography. In credit scoring, algorithmic bias can manifest as higher rejection rates or interest rates for female-led businesses or businesses from certain states, even when controlling for creditworthiness. Assessed using fairness metrics including demographic parity, equalised odds, and individual fairness in Module 5 of this framework.",MDL-001,"proprietor_gender, state, sector","EU AI Act 2024, RBI Fair Practices Code, Constitution of India Article 14 (equality before law)"
